official_fine_cell_type,gene,n_independent_fish,mean_within_fish_log2cpm_difference,sd_within_fish_log2cpm_difference,t_statistic,p_value,fdr_bh
erythroblast,hbbe3,21,3.355856701170602,3.15466281333058,4.874837110817257,9.169664601933717e-05,0.0008568451919415925
erythroblast,ncs1a,21,3.319802581633868,1.569286559979804,9.694371321731577,5.3181857607320684e-09,3.6844552107496035e-07
erythroblast,rbm24a,21,3.290801112502069,2.285639121700986,6.597867988828761,1.9943381935083075e-06,3.5482923695784964e-05
erythroblast,gp1bb,21,3.2355867320631044,2.56008007524018,5.791741149300932,1.1470821862290234e-05,0.00015158324846660244
erythroblast,igfbp5a,21,3.2330055075291053,1.92481245183791,7.697109630766703,2.1050625732857483e-07,5.958875448039141e-06
erythroblast,slc10a4,21,3.230984239604399,1.292224164790073,11.457942244565459,3.063266114735196e-10,6.323922413547084e-08
erythroblast,nt5e,21,3.226200956924754,2.2146134637074444,6.675797079051666,1.6914475872002697e-06,3.091596572607555e-05
erythroblast,top1,21,3.223006993907221,2.160560477156263,6.836037996210968,1.2085107126274304e-06,2.364348672873451e-05
erythroblast,im:7151449,21,3.1934125159786944,1.8430762452087952,7.940015839135241,1.3091387457372408e-07,4.081388805602409e-06
erythroblast,wnk4b,21,3.166900980966877,2.816367910027796,5.152935954155005,4.84065185255233e-05,0.0005000123628568266
erythroblast,ppox,21,3.1659130636516246,1.6856181397963035,8.606953090565531,3.6987169247949344e-08,1.5830623842706557e-06
erythroblast,si:ch211-103n10.5,21,3.1658640687609116,3.9691535822842128,3.655139927008982,0.001573199262562687,0.009111404215412143
erythroblast,phyhiplb,21,3.1246996962887756,1.80216883058201,7.945522438996164,1.2952364939178444e-07,4.05230651104033e-06
erythroblast,sept3,21,3.1121515117163705,2.3954482521928107,5.953653919910931,8.020349178232973e-06,0.00011278230635818638
erythroblast,zgc:56095,21,3.102588309895132,1.9482747228826245,7.29765962335288,4.676994044424197e-07,1.1056287753551129e-05
erythroblast,epor,21,3.0962262791623307,1.0651451125071842,13.320899778223552,2.1028011529025083e-11,1.9354687461171475e-08
erythroblast,stx2b,21,3.0854109737370217,1.63395193429142,8.65333247598185,3.3947938508363526e-08,1.4807022145897508e-06
erythroblast,slc9a1b,21,3.050311120271732,1.70677374790122,8.189885518803841,8.09754579765073e-08,2.896429843005838e-06
erythroblast,slc43a3a,21,3.0402214567744488,1.9301244333378174,7.218210761160489,5.495884564485035e-07,1.2501060710348013e-05
erythroblast,oxsr1b,21,3.037107440856984,1.3763976877916715,10.111739408521377,2.623697090111884e-09,2.3171076637395316e-07
erythroblast,znfl2a,21,3.0124127414068664,2.258977055920802,6.1110002758834465,5.681760228597396e-06,8.340240335557493e-05
erythroblast,cyp46a1.1,21,2.998574208499504,1.633788766294197,8.410630291307127,5.3335070103170046e-08,2.069657211146351e-06
erythroblast,cldng,21,2.9650992764219906,1.6958941916053585,8.01216959437791,1.1385983826983167e-07,3.726875883953771e-06
erythroblast,atxn1b,21,2.9603284886635772,2.147799855251821,6.316198107595325,3.64120729161021e-06,5.801191756406859e-05
erythroblast,phospho2,21,2.9425328880544845,1.6501754019319486,8.171482667006071,8.386808850186175e-08,2.9727661602694795e-06
erythroblast,fth1a,21,2.9335493627972458,1.6743215369316091,8.029050402435912,1.1021296204239861e-07,3.651802673470055e-06
erythroblast,arl4aa,21,2.8997967840339336,1.6454309779687504,8.07602290266191,1.0068830622768335e-07,3.4443686799956267e-06
erythroblast,sox6,21,2.8916903038759667,1.5943705321645494,8.311361403481987,6.430113797576631e-08,2.4265498216852113e-06
erythroblast,tbx16l,21,2.862844805934647,1.8134517795428384,7.234382063036693,5.317961634952574e-07,1.2219286219005351e-05
erythroblast,tal1,21,2.8466401253929967,1.918638303966699,6.799063598356268,1.3055976054183516e-06,2.5083382566283245e-05
